person A,id A,person B,id B,connection,collection item,date,notes,original data,,,
Florence Rena Sabin,74652573,Adelaide Baylis,19369819,mentioned in letter|used this person's scientific contribution,"Florence Rena Sabin, ""Baylis, Adelaide B.""",1927,,"Miss Adelaide Baylis, works at postgraduate medical school in 1936. Sabin says she is the only person in the country accredited to do ""Vernes Flocculation Test."" Baylis wrote the articles ""The Vernes Test for Tuberculosis, American Review of Tubercleosis, 1927; and ""The Vernes Flocculation Test for TB: Results of 250 cases"" - Series I, Box 9. Sends specimens and samples to (series 1, box 2)",,,
Florence Rena Sabin,74652573,Ruby Hirose,ruby-hirose-biochemistry,corresponded with,"Florence Rena Sabin, ""Hirose, Ruby""",,,"Dr. Ruby Hirose writes to Sabin from University of Cincinnati College of Medicine. Doctorate in biochemistry , studying under A.P. Mathews and C.A. Mills. Also studied at Cold Spring Harbor under W.W. Swingle and Edgar Allen. Working in department of internal medicine at Cincinnati General Hospital. In 1932 she writes that she is 28 years old and an ""American-born Japanese girl."" Sabin responds that she has nothing. Series I, Box 10",,,
Florence Rena Sabin,74652573,Margaret Reed Lewis,240455520,corresponded with,"Florence Rena Sabin, Naples Table Association",,,"Margaret Reed Lewis, bio in papers, copied. But brief bio is graduated from Goucher in 1901, went on to Bryn Mawr, studied at University of Zurich, Konigliches Institut fur Infections-Krankheiten, worked as ""Asst. In Zoology"" Columbia University, Lecturer in Physiology at NY Medical College for Women, and Barnard College, worked as researcher (witout salary) at Johns Hopkins Medical School, recieved a scholarship to Woods Hole Marine Laboratory, ""Investigator"" at Mount Desert Island Biological Laboratory. Has 96 publications on topics such as cytology of living cells in tissue culture, cancer, ultramicroscopic viruses.",,,
Florence Rena Sabin,74652573,Evelyn B. Man,evelyn-man-biochemistry,asks for advice,"Florence Rena Sabin, ""Man, Evelyn B""",,,"Evelyn Man - PhD from Yale, working on nutrition. Copy made of the letter. PhD from Yale, working on nutrition. Asks Sabin if there are any positions she knows of. No response in the folder.",,,
Florence Rena Sabin,74652573,Maud L. Menten,305447399,mentioned in letter,"Florence Rena Sabin, ""Menten, Maud L.""",,,"Maud L. Menten, Society for Biological Research in School of Medicine, University of Pittsburgh, April 27, 1931. holds the Naples Table in 1913, research student in Cushing laboratory for medical research at Cleveland, also a student at Chicago University working on PhD. Series 1, Box 14",,,
Florence Rena Sabin,74652573,Helen T. Woolley,66829805,corresponded with,"Florence Rena Sabin, ""Woolley, Helen T.""",1926,,"Dr Helen T. Woolley, Institute of Child Welfare Resaerch, in 1936. asks FRS for suggestions of women to hire. Series I, Box 26",,,
Florence Rena Sabin,74652573,Dorothy Wrinch,75241605,corresponded with,"Florence Rena Sabin, ""Wrinch, Dorothy""",1941,,"Dorothy Wrinch, mathemitician who researched physical mathemeatics, who in 1941 takes a position at Mt. Holyoke. Stellar research and training portfolio. Studied at University of Cambridge, University of London, University of Oxford, Unviersity of Vienna, Lecturer in chemistry at Johns Hopkins University many publications",,,
Florence Rena Sabin,74652573,Pauline Ramart-Lucas,64121403,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,"Madame Ramart-Lucas, has done scientific work in Paris - recommedned for Ellen Swallow Richards Prize 1929. Seems she received it, referred to as ""Madame Remar-Lucas""",,,
Florence Rena Sabin,74652573,Johanna Westerdijk,47547210,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,Professor Johanna Westerdijk - recommedned for Ellen Swallow Richards Prize,,,
Florence Rena Sabin,74652573,Annie Porter,289560001,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,Dr. Annie Porter recommedned for Ellen Swallow Richards Prize,,,
Lilian Welsh,73239411,Annie Porter,289560001,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,Dr. Annie Porter recommedned for Ellen Swallow Richards Prize,,,
Florence Rena Sabin,74652573,Annie Jump Cannon,37667347,corresponded with|collaborated with,"Florence Rena Sabin, Naples Table Association",,,Dr. Anna Cannon recommended for Ellen Swallow Richards Prize. Also worked together organizing Emmy Noether memorial fund,,,
Florence Rena Sabin,74652573,Józefa Joteyko,12462457,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,Dr. Jogteko recommended for Ellen Swallow Richards Prize,,,
Lilian Welsh,73239411,Józefa Joteyko,12462457,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,Dr. Jogteko recommended for Ellen Swallow Richards Prize,,,
Florence Rena Sabin,74652573,Norma LeVeque,norma-leveque-biology,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,Norma LeVoque - applies to Naples Table. Studying zoology at University of Colorado - made copies of a recommendation and letter describing her work.,,,
Florence Rena Sabin,74652573,Caroline McGill,45180040,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,Miss Caroline McGill (won the Naples Table in 1909),,,
Florence Rena Sabin,74652573,Minnie Reed,4592113,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,Minnie Reed (holds the Naples Table in 1911),,,
Florence Rena Sabin,74652573,Mary E. Pinney,173632405,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,"Miss Mary E. Pinney, holds the Naples Table in 1912, demonstrater in biology at Bryn Mawr",,,
Florence Rena Sabin,74652573,Caroline B. Thompson,caroline-thompson-entomology,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,"Miss Caroline B. Thompson, held Naple Table 1913 where she studied flora/fauna and prepared microscopic slides for her teaching at Wellesley where she is associate professor of zoology.",,,
Florence Rena Sabin,74652573,Rhoda Erdmann,77069858,corresponded with|received letter of recommendation about,"Florence Rena Sabin, ""Erdmann, Rhoda""",1925,,"Rhoda Erdmann, held Naples Table in 1913, Theresa Seessel Research Fellow at Yale University, published several papers, German cell bioligist, one of the few women working in this field, researched how to reproduce protozoa. Series 1, Box 7. https://en.wikipedia.org/wiki/Rhoda_Erdmann",,,
Lilian Welsh,73239411,Rhoda Erdmann,77069858,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,"applied for ESR Prize, application would have been sent to LW",,,
Florence Rena Sabin,74652573,Florence Peebles,3389154260604924480006,corresponded with,"Florence Rena Sabin, ""Peebles, Florence""",,,"Miss Florence Peebles, held Naples Table in 1913, teacher of science at Miss Wright's School, private tutor and ""private investigator"" at Bryn Mawr. In 1934, teaching biology at California Christian College. Very brief correspondence.",,,
Florence Rena Sabin,74652573,Gulli Lindh Muller,78483016,corresponded with|asks for advice,"Florence Rena Sabin, ""Muller, Gulli Lindh""",1925-1937,,"Gulli Lindh Muller, working on blood findings at Rutland State Sanitorium (1834-37) and employed at Boston City Hospital (1931). Series I, Box 15",,,
Florence Rena Sabin,74652573,Janet McCarter,janet-woolley-bacteriology,mentioned in letter,"Florence Rena Sabin, ""Seibert, Barbara Florence""",,,"Janet McCarter's work at Wisconsin - characterized by Florence Siebert as ""good"" in a letter to Sabin, January 18, 1944. She works there with a Dr. Williams (male) who ""was not conscious until lately that he was responsible for testing some of my products, which always passed thru her hands."" Siebert also says, ""She has always seemed to be very conscientious in her work."" ""If she has in mind a logical problem under good guidance I have no doubt she will do a good job. Her interest seems to be in research for I know she was often much discouraged about the amount of teaching she was required to do.""",,,
Florence Rena Sabin,74652573,Mary Sherwood,mary-sherwood-medicine,corresponded with|mentor relationship,"Florence Rena Sabin, ""Sherwood, Mary""",,,"Dr. Mary Sherwood, born 1856, went to Normal School at Albany, NY, then taught for a few years, then went to Vassar ""for a year or more."" Graduated Vassar in 1884. Then went to University in Zurich to study medicine where she took courses with Stohr and Klebs (pathologist). In 1889 Welsh and Mary Sherwood took their first course in bacteriology together with Professor Eichhorst. ""Dr. Welsh has often told me that Dr. Sherwood was a young woman of radiant beauty, so much so that everywhere she created wonderment at her determination to study medicine. Hers was a beauty of feature and of coloring that became intensified rather than faded with years."" In 1890 Welsh and Sherwood returned to America. Welsh as Assistant Resident in the State Hospital for the Insane at Norristown PA, and Sherwood in Baltimore where she practiced medicine with Dr. Kelley. Welsh joined Sherwood in Baltimore in 1892. In 1894 she became Lecturer in Hygiene at Bryn Mawr College and Director of Health. At about the same time, Dr. Welsh was made Director of Health at Goucher College. Sherwood and Welsh seemed to work in childhood medicine along with women physicians Helen C. Putnam, Gertrude Knipp, Josephine Baker and Julia Lathrop. Sabin writes that she was ""an ardent, not a passive liberal."" And reflects that others will likely write on her work with suffrage and public affairs. See copy of Sherwood eulogy/obituary that FRS wrote for more details. Series I, Box 20",,,
Florence Rena Sabin,74652573,Elaine Ralli,217419612,corresponded with,"Florence Rena Sabin, ""Ralli, Elaine P.""",1934-1936,,"Elaine P. Ralli - conducts a diabetic clinic at the NYU Medical College and researches on the Physiology of the pancreas (1939). Series I, Box 17",,,
Louise Pearce,56214499,Elaine Ralli,217419612,collaborated with,"Florence Rena Sabin, ""L'Esperance, Elise""",,,served on committee together with Florence Sabin,,,
Florence Rena Sabin,74652573,Margaret Clay Ferguson,194053710,corresponded with,"Florence Rena Sabin, Naples Table Association",1920,,"Ferguson applied to the Naples Table Association for $500 for her research. Her application came after the executive committee met, though, and so she doesn't seem to receive the grant. She earned a PhD from Cornell University in 1901, became professor of botany at Wellesly and published on fungi, pine and petunias.",,,
Lilian Welsh,73239411,Margaret Clay Ferguson,194053710,correspnded with,"Florence Rena Sabin, Naples Table Association",1920,,"Welsh was also responsible for overseeing grants (was she on exec comm?), so she was part of this interaction as well. Ferguson sent letters to Welsh about the late grant.",,,
Florence Rena Sabin,74652573,Margaret F. Washburn,69034781,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,"Washburn recommended for Naples Table Prize. Ranked ""outstanding"" by Sabin",,,
Florence Rena Sabin,74652573,Cecilia Payne-Gaposchkin,110246591,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,"Payne-Gaposchkin nominated for Naples Table. FRS seems skeptical, does not immediately recognize her as a fabulous scientist",,,
Lilian Welsh,73239411,Pauline Ramart-Lucas,64121403,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,FRS forwards recommendation to LW,,,
Lilian Welsh,73239411,Lise Meitner,64160163,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,FRS forwards recommendation to LW,,,
Janet Howell Clark,34818238,Lise Meitner,64160163,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,LW consults JHC about Meitner's application,,,
Janet Howell Clark,34818238,Cecilia Payne-Gaposchkin,110246591,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,FRS and JHC discuss CPG's Naples Table application,,,
Lilian Welsh,73239411,Johanna Westerdijk,47547210,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,FRS forwards recommendation to LW,,,
Lilian Welsh,73239411,Margaret F. Washburn,69034781,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,FRS forwards recommendation to LW,,,
Lilian Welsh,73239411,Cecilia Payne-Gaposchkin,110246591,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1928,,FRS forwards recommendation to LW,,,
Lilian Welsh,73239411,Annie Jump Cannon,37667347,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1932,,AJC awarded Ellen Richards Research Prize in 1932—Welsh involved in her selection,,,
Lilian Welsh,73239411,Helen Dean King,51423735,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",1932,,HDK awarded Ellen Richards Research Prize in 1932—Welsh involved in her selection,,,
Florence Rena Sabin,74652573,Maud Slye,4741220,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,Slye named in correspondence between FRS and LW as possible recipient of Naples Table,,,
Lilian Welsh,73239411,Maud Slye,4741220,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,Slye named in correspondence between FRS and LW as possible recipient of Naples Table,,,
Lilian Welsh,73239411,Florence Peebles,3389154260604924480006,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,Welsh corresponds with FRS about awarding Naples Table to Peebles,,,
Clara Lynch,clara-lynch-biology,Helen Dean King,51423735,recommends,"Florence Rena Sabin, Naples Table Association",1932,,Lynch provides a rather lukewarm recommendation for HDK for the Ellen Richards Research Prize,,,
Lilian Welsh,73239411,Nina Simmonds Estill,26242763,collaborated with,"Florence Rena Sabin, Naples Table Association",,,Serve on committee together for Naples Table,,,
Lilian Welsh,73239411,Marion Hines,6448391,collaborated with,"Florence Rena Sabin, Naples Table Association",,,Serve on committee together for Naples Table,,,
Janet Howell Clark,34818238,Nina Simmonds Estill,26242763,collaborated with,"Florence Rena Sabin, Naples Table Association",,,Serve on committee together for Naples Table,,,
Janet Howell Clark,34818238,Marion Hines,6448391,collaborated with,"Florence Rena Sabin, Naples Table Association",,,Serve on committee together for Naples Table,,,
Nina Simmonds Estill,26242763,Marion Hines,6448391,collaborated with,"Florence Rena Sabin, Naples Table Association",,,Serve on committee together for Naples Table,,,
Florence Rena Sabin,74652573,Kathleen Lonsdale,66553571,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,"Lonsdale nominated for ESR prize, FRS and LW discuss application",,,
Lilian Welsh,73239411,Kathleen Lonsdale,66553571,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,"Lonsdale nominated for ESR prize, FRS and LW discuss application",,,
Florence Rena Sabin,74652573,Gertrude Stein,22149082,worked in lab with,"Florence Rena Sabin, ""Flint, Joseph M""",[1901],,"Stein and Sabin went to med school together. Sabin had a fairly unfavorable impression of Stein. In the Rous papers, he also recounts Sabin's thoughts on Stein in the Sabin folder.",,,
Florence Barbara Seibert,290322767,Lewis Affronti,lewis-affronti-microbiology,corresponded with|mentor relationship,"Florence Barbara Seibert, ""Affronti, Lewis""",1956-1967,,Four folders of correspondence between Affronti and Seibert. Ends up at the George Washington University School of Medicine in the 1960s,,,
Lewis Affronti,lewis-affronti-microbiology,Phyllis Q. Edwards,phyllis-edwards-medicine,corresponded with,"Florence Barbara Seibert, ""Affronti, Lewis""",,,,,,
Florence Barbara Seibert,290322767,Nine Choucroun,nine-choucroun-biochemistry,corresponded with|recommends,"Florence Barbara Seibert, ""Choucroun, Nina""",1942-1958,,"Dr. Nina Choucroun - she works at Cornell in 1942; assistant of Dr. Jean Perrin, Nobel Prize winner in Physics and head of Department of Physical Chemistry at the University of Paris. In the US she is working with Dr Alfred Boquet at the Pasteur Institute. She wins a Macy Fund to continue work in the US. Series I, Box I",,,
Florence Barbara Seibert,290322767,Hilda Pope Willett,55434368,Women appearing in letters,"Florence Barbara Seibert, ""Willett, Hilda Pope""",,,"Dr. Hilda Pope Willett -at Duke University, School of Medicine and Department of Bacteriology",,,
Florence Barbara Seibert,290322767,Elizabeth Eshelman Miller,elizabeth-miller-biochemistry,recommends|corresponded with|worked in a lab with|mentor relationship,"Florence Barbara Seibert, ""Miller, Elizabeth Eshelman""",,,"Elizabeth Ehsleman Miller - biochemistry. Worked with Seibert 1952-55. See copied biography. In the preface of her dissertation she says that her work was done under the supervision of Seibert, who ""originated this problem and contributed to it greatly both in ideas and labor. The writer wishes to thank Dr. Seibert for her constant encouragement and advice and the other members working in the group, Eva Soto-Figueroa, Mabel V. Seibert, Lois Freay, Mildred Meekins, Mamie Cameron and Ute Busemann. Series I, Box 5",,,
Florence Barbara Seibert,290322767,Ellen Burtner Bevilacqua,ellen-bevilacqua-chemistry,corresponded with,"Florence Barbara, Seibert, ""Bevilacqua, Ellen Burtner""",1941-1944,,"Department of Physical Chemistry, University of Wisconsin in 1943. Series I, Box 1",,,
Florence Barbara Seibert,290322767,Teresina Patino,teresina-patino-medicine,recommends,"Florence Barbara Seibert, ""Patino de Pinzon, Teresina""",,,"Teresina Patino, from Panama City, studies with Seibert at Phipps. She later is at the Gorgas Memorial Institute of Tropical and Preventitive Medicine and her married name is de Pinzon. Series I, Box 6",,,
Teresina Patino,teresina-patino-medicine,Mabel V. Seibert,mabel-seibert-biochemistry,worked in a lab with,"Florence Barbara Seibert, ""Patino de Pinzon, Teresina""",,,"Patino sends her regards to Miss Seibert, Mamie, and Mildred in letter to FBS. Remembers good times in the lab",,,
Teresina Patino,teresina-patino-medicine,Mildred Meekins,mildred-meekins-biochemistry,worked in a lab with,"Florence Barbara Seibert, ""Patino de Pinzon, Teresina""",,,"Patino sends her regards to Miss Seibert, Mamie, and Mildred in letter to FBS. Remembers good times in the lab",,,
Teresina Patino,teresina-patino-medicine,Mamie Cameron,mamie-cameron-microbiology,worked in a lab with,"Florence Barbara Seibert, ""Patino de Pinzon, Teresina""",,,"Patino sends her regards to Miss Seibert, Mamie, and Mildred in letter to FBS. Remembers good times in the lab",,,
Florence Barbara Seibert,290322767,Ruth Breitwieser,ruth-breitwieser-medicine,corresponded with|used each other's research,"Florence Barbara Seibert, ""Breitwisser, Ruth""",,,"Dr. Ruth Breitwisser - Office of Resident Physician, Wellesley College (in 1962). Breitwisser has questions about PPD solution and shares some of her results with Seibert",,,
Florence Barbara Seibert,290322767,Lydia Edwards,45343638,corresponded with|used each other's research,"Florence Barbara Seibert, ""Edwards, Lydia B.""",,,"Dr. Lydia Edwards, Tuberculosis Program, Department of Health, Education and Welfare, Public Health Service, corresponds with Seibert extensively in 1940-50s. In this folder (Lydia Edwards) is a letter from Edward Krohn, JHU, talking about testing of African American TB patients in Freedman's Hospital in Washington DC. It seems that Edwards is involved with this testing and runs a study of a couple thousand African Americans where they test the solution of injections on these patients with TB at the Freedman's Hospital. Series I, Box 2 Two folders of correspondence",,,
Dorothy H. Heilman,45343638,Lydia Edwards,45343638,used this person's scientific contribution,"Florence Barbara Seibert, ""Heilman, Dorothy H.""",,,"reference to Dr. Edwards, confirmed to be Lydia in Lydia's folder",,,
Lydia Edwards,45343638,Phyllis Q. Edwards,phyllis-edwards-medicine,used each other's research,"Florence Barbara Seibert, ""Edwards, Phyllis Q.""",,,"seems they may be living together, or at least very nearby? Possibly sisters or cousins",,,
Lydia Edwards,45343638,Irene Diller,irene-diller-medicine,used this person's scientific contribution,"Florence Barbara Seibert, ""Edwards, Lydia B.""",,,Seibert shares Diller's research results with Edwards,,,
Lydia Edwards,45343638,Janet McCarter,janet-woolley-bacteriology,used this person's scientific contribution,"Florence Barbara Seibert, ""Edwards, Lydia B.""",,,FBS shares McCarter's avian strain with Edwards who then uses it,,,
Florence Barbara Seibert,290322767,Irene Diller,irene-diller-medicine,corresponded with| used each other's research|mentor relationship,"Florence Barbara Seibert, ""Diller, Irene""",1954-1973,,"Irene Corey Diller, PhD working at the Institute for Cancer Research in Philadelphia. She was also the editor-in-chief for GROWTH journal, along with Stanley P. Reimann, M.D. She writes very heart-felt letters to Siebert that mix news of her work and her personal life. One of my favorites: ""Each place has its beauty, and I have been most fortunate that so much of my life has fallen in such lovely environs. Such a lovely world, but man will not be satisfied until he succeeds in blowing it to bits."" (May 8, 1962). Another favorite: ""The human mind is a curious thing - something like an I.B.M. machine after all."" November 16, 1962. She works with her husband William (Bill) Diller. Series I, Box 2 Five folders of correspondence",,,
Florence Barbara Seibert,290322767,Marion Fay,106916582,recommends,,,,Marion Fay - she writes a LOR for her to Mrs Franklin N. Daskam at the Women's Medical College,,,
Florence Barbara Seibert,290322767,Charlotte C. Campbell,charlotte-campbell-medicine,corresponded with|used each other's research,"Florence Barbara Seibert, ""Campbell, Charlotte C.""",,,"Charlotte C. Campbell, Harvard University School of Public Health in 1965 - addressed a group of scientific women with a talk titled ""Pills, Petticoats and Pipettes"" where she talked about Dr. Siebert, Alice Evans and Rebecca Lancefield. At Southern Illinois University School of Medicine in 1975. A woman that Seibert recommends as ""truly dedicated"" to fellow woman physician, Ruth Kundsin. Campbell and Seibert share cancerous tissue and share notes. Series I, Box I",,,
Charlotte C. Campbell,charlotte-campbell-medicine,Alice Evans,16452241,mentioned in letter,"Florence Barbara Seibert, ""Campbell, Charlotte C.""",,,,,,
Charlotte C. Campbell,charlotte-campbell-medicine,Rebecca Lancefield,194154196756120110412,mentioned in letter,"Florence Barbara Seibert, ""Campbell, Charlotte C.""",,,,,,
Florence Barbara Seibert,290322767,Esmond R. Long,92247013,corresponded with|mentor relationship,"Florence Barbara Seibert, ""Long, Esmond R.""",,,he seems to have been immensely supportive to both Sabin and Seibert. He and Seibert correspond for 30+ years,,,
Florence Barbara Seibert,290322767,Phyllis Q. Edwards,phyllis-edwards-medicine,corresponded with|used each other's research,"Florence Barbara Seibert, ""Edwards, Phyllis Q.""",,,"Phyllis Q. Edwards, Department of Health, Education and Welfare Division of Special Health Serivces, Tuberculosis Program, August 5, 1959. She is publishing an article with Dr. McDermott in the American Review of Respiratory Diseases. Edwards seems to know Lew Affronti and holds him as a mutual friend with Siebert. Series I, Box 3",,,
Florence Barbara Seibert,290322767,Emily Emmart,emily-emmart-medicine,corresponded with|used each other's research|published together,"Florence Barbara Seibert, ""Emmart, Emily W.""",1944-45,,"Seibert collaborated with Dr. Emily Emmart of the NIH in 1944-45 on cellular sensitization. Emmart was at Division of Chemotherapy, US Public Health Service, National Institute of Health, Bethesda.",,,
Florence Barbara Seibert,290322767,Florence Rena Sabin,74652573,corresponded with,"Florence Barbara Seibert, ""Sabin, Florence R.""",,,,,,
Florence Barbara Seibert,290322767,Margaret Hotchkiss,margaret-hotchkiss-microbiology,corresponded with,"Florence Barbara Seibert, ""Fabrizio, Angelina""",,,"Dr. Margaret Hotchkiss, Department of Bacteriology, University of Kentucky. Seibert wrote to her about the fellowship for Angelina Fabrizio",,,
Florence Barbara Seibert,290322767,Angelina Fabrizio,angelina-fabrizio-microbiology,corresponded with|worked in lab with|coauthored a paper,"Florence Barbara Seibert, ""Fabrizio, Angelina""",,,Fabrizio was admitted to University of Pennsylvania as a grad student to work with Seibert,,,
Margaret Reed Lewis,240455520,Angelina Fabrizio,angelina-fabrizio-microbiology,recommends,"Warren H. Lewis, ""Fabrizio, Angelina M.""",1960,,Warren and Margaret Lewis coauthor a recommendation for Fabrizio. May contain additional biographical information,,,
Florence Barbara Seibert,290322767,Edith Lincoln,2896148997680459870000,corresponded with,"Florence Barbara Seibert, ""Lincoln, Edith M.""",,,"Trudeau Medal recipient. Part of the National Tuberculosis Association. Series I, Box 4",,,
Florence Barbara Seibert,290322767,Jessie L. King,jessie-king-physiology,mentor relationship,,,,"Dr. Jessie L. King, Goucher professor of science. Seibert writes a moving tribute to her after her death in 1956 and cites her as an influence in her life.",,,
Florence Barbara Seibert,290322767,Ruth E Gordon,71017888,corresponded with|used each other's research,"Florence Barbara Seibert, ""Gordon, Ruth E.""",1958-1971,,"Ruth Gordon, Lewis Affronti, Irene Diller and Florence Seibert were all working on a culture together and seemed to share data and letters about the culture. Dr Ruth E Gordon, Institute of Microbiology, Rutgers University, Series I, Box 3",,,
Irene Diller,irene-diller-medicine,Ruth E Gordon,71017888,corresponded with|used each other's research,"Florence Barbara Seibert, ""Gordon, Ruth E.""",,,,,,
Ruth E Gordon,71017888,Lydia Edwards,45343638,corresponded with|used each other's research,"Florence Barbara Seibert, ""Gordon, Ruth E.""",,,letter to Edwards about Seibert's strain,,,
Ruth E Gordon,71017888,Lewis Affronti,lewis-affronti-microbiology,used each other's research,"Florence Barbara Seibert, ""Gordon, Ruth E.""",,,,,,
Irene Diller,irene-diller-medicine,Lewis Affronti,lewis-affronti-microbiology,used each other's research,"Florence Barbara Seibert, ""Diller, Irene""",,,,,,
Florence Barbara Seibert,290322767,Dorothy H. Heilman,523144782715640055973,corresponded with,"Florence Barbara Seibert, ""Heilman, Dorothy H.""",1940-1966,,"Dr. Dorothy H. Heilman, Mayo Clinic, Rochester, Mn. Corresponds with Siebert about TB. A letter dated August 15, 1945 Heilman says ""It is necessary for me to quit my job here at the clinic and devote my time to being a housewife. It makes me feel very sad to think of some of the things I wanted to do in the laboratory."" In 1955, Heilman writes from Long Beach, CA from the Medical Research Division of the Veteran's Administration Hospital ""This is to send you greetings from the West, and to say that I am back in the laboratory again, doing tissue culture studies on immunity."" Here she is working under ""Dr. Carpenter in the department of Infectious Disesases at UCLA. Then, in 1959, she moves to Washington DC to the Veteran's Administrartion Hospital. In 1960 she writes to Seibert ""Your faith in me as a young researcher is one of the very nicest things that has happened to me as a laboratory worker."" Series I, Box 3",,,
Dorothy H. Heilman,523144782715640055973,Emily Emmart,emily-emmart-medicine,used this perons's scientific contributions,"Florence Barbara Seibert, ""Heilman, Dorothy H.""",,,Seibert mentions paper she is coauthoring with Emmart and Heilman is most interested,,,
Dorothy H. Heilman,523144782715640055973,Irene Diller,irene-diller-medicine,requested reprints,"Florence Barbara Seibert, ""Diller, Irene C.""",,,"Seibert directs Diller to send reprints to Heilman, who is most interested in her work",,,
Dorothy H. Heilman,523144782715640055973,Angelina Fabrizio,angelina-fabrizio-microbiology,used this perons's scientific contributions,"Florence Barbara Seibert, ""Heilman, Dorothy H.""",,,Seibert and Heilman have a discussion about the merits/shortcomings of Fabrizio's work,,,
Florence Barbara Seibert,290322767,Gladys Hobby,26011575,corresponded with,"Florence Barbara Seibert, ""Hobby, Gladys""",,,"Dr. Gladys Hobby, Pfizer & Co., Consultant on Preparation of PPD. In 1958 Hobby asks Seibert to be a consultant to Pfizer.",,,
Florence Barbara Seibert,290322767,Rosette Coidan,rosette-coidan-medicine,mentioned in letter,"Florence Barbara Seibert, ""Diller, Irene C. #1""",,,"Dr. Rosette Coidan, tissue culturist at New York Medical College, mentioned in a letter by Irene Diller.",,,
Florence Barbara Seibert,290322767,Henrietta Lacks,96737226,used this person's scientific contribution,"Florence Barbara Seibert, ""Diller, Irene C. #2""",,,,,,
Florence Barbara Seibert,290322767,Virginia Livingston,57991060,used each other's research,"Florence Barbara Seibert, ""Diller, Irene C.""",,,"supports Diller and Siebert in their findings/claims about the idea of ""bugs"" or ""germs"" in cancer cells.",,,
Virginia Livingston,57991060,Irene Diller,irene-diller-medicine,used each other's research,"Florence Barbara Seibert, ""Diller, Irene C.""",,,,,,
Irene Diller,irene-diller-medicine,Elizabeth Eshelman Miller,elizabeth-miller-biochemistry,used each other's research|corresponded with,"Florence Barbara Seibert, ""Diller, Irene C.""",,,Miller was working on a tumor culture that Diller and Sabin were both interested in.,,,
Florence Barbara Seibert,290322767,Oksana Lyczkowskyj,oksana-lyczkowskyj-medicine,worked in lab with,"Florence Barbara Seibert, ""Diller, Irene C.""",,,"half time assistant in Siebert's lab. ""She and her husband escaped from Poland just before she was ready to take her final medical examination. Since then she has been doing mainly chemical research and was a most devoted and well thought of assistant on Dr. Connor's project..."" in a letter dated April 23, 1970.",,,
Florence Barbara Seibert,290322767,Chinyere Wogu,chinyere-wogu-pediatrics,mentioned in letter,"Florence Barbara Seibert, ""Diller, Irene C.""",,,"Chinyere Wogu, a Fellow in Florida, she received her MD in Pediatrics from Howard University in 1971. Will return to Nigeria. Has dinner with Seibert.",,,
Florence Barbara Seibert,290322767,Lucia J. Dunham,32156130955658311554,corresponded with,"Florence Barbara Seibert, ""Dunham, Lucia J.""",1971-1972,,"Lucia J. Dunham at Laboratory of Pathology, National Cancer Institute, writes a letter of introduction to Wilhelmina Dunning at the Cancer Research Laboratory in the University of Miami so Siebert can talk to her about vaccinations against tumors. She also puts her in touch with Thelma B. Dunn, MD for comments on a paper that Seibert is asking for. Series I, Box 2",,,
Florence Barbara Seibert,290322767,Libbie H. Hyman,61628052,Women appearing in letters,,,,"Libbie H. Hyman, attends the Great Congress of Intellect at University of Chicago the same time as Seibert. Hyman is writing on invertebrate zoology, a product of original research. Lily Bess Campbell (scholar of Elizabethean literature), while not a scientist, was the third woman to round out the ""50"" intellects.",,,
Florence Barbara Seibert,290322767,Cynthia Pierce-Chase,cynthia-pierce-chase-microbiology,mentioned in letter,,,,"Cynthia Pierce-Chase, a woman that Seibert refers to as ""truly dedicated""",,,
