person,id,id_type,gender,DOB,DOD,place_of_birth,field,education,affiliation,publications,membership_in_societies,awards_and_honors_received,image,notes,biography,relevant_links,collection,description,image_credit,image_notes
Lucia J. Dunham,32156130955658311554,VIAF,F,,,,Medicine|Cancer research,,,,,,,,Lucia J. Dunham worked as a cancer researcher at the National Cancer Institute. Dunham corresponded with Seibert about the potential of a vaccine against cancer and put her in touch with researchers pursuing similar lines of inquiry.,,Florence Barbara Seibert,"Lucia J. Dunham at Laboratory of Pathology, National Cancer Institute, writes a letter of introduction to Wilhelmina Dunning at the Cancer Research Laboratory in the University of Miami so Siebert can talk to her about vaccinations against tumors. She also puts her in touch with Thelma B. Dunn, MD for comments on a paper that Seibert is asking for. Series I, Box 2",,
Tilly Edinger,54898057,VIAF,F,1897-11-13,1967-05-27,Frankfurt am Main,Zoology|Biology|Paleontology,University of Heidelberg|University of Munich|University of Frankfurt,University of Frankfurt|NaturmuseumSenckenberg|Harvard University|Wellesley College,"Edinger, Tilly. <i>Die fossilen Gehirne</i>. Berlin: J. Springer, 1929.|Edinger, Tilly. <i>Evolution of the Horse Brain</i>. New York: The Geological Society of America, 1948.|Edinger, Tilly. “The Brains of the Odontognathae.” <i>Evolution</i> 5, no. 1 (1951): 6–24.",,Guggenheim Fellowship|American Association of University Women Fellowship,https://upload.wikimedia.org/wikipedia/commons/e/e5/TillyEdinger.jpg,,"Tilly Edinger was a German Jewish paleontologist and founder of the field of paleoneurology. Born into a well-off family, Edinger received and exceptional education and studied zoology and paleontology in Heidelberg and Munich. She completed her doctoral dissertation at the University of Frankfurt, and then became a curator of vertebrate paleontology at the Naturmuseum Senckenberg. During this time, she discovered that the sediment remaining in mammalian fossil skulls could be used to reconstruct the shape of the creature's brain. In the 1930s, Edinger continued her work at the Naturmuseum Senckenberg in secret to avoid persecution by the German state. She left Germany for London and then later the United States in 1938. In the United States, she worked at the Harvard Museum of Comparative Zoology, where she continued her research on mammalian evolution.",,Henry Allen Moe|Ashley Montagu|Raymond Pearl|George Gaylord Simpson|Anthony F. C. Wallace,,"Portrait of Tilly Edinger, 1930, Wikimedia Commons.",
Lydia Edwards,45343638,VIAF,F,1905,2001-11-07,"Berkeley, CA",Medicine|Pediatrics|Tuberculosis research|Public health,Radcliffe College|Harvard University|Johns Hopkins University,Johns Hopkins University|National Institutes of Health,"Edwards, Lydia B., F. A. Acquaviva, Verna T. Livesay, Forrest W. Cross, and Carroll E. Palmer. ""An atlas of sensitivity to tuberculin, PPD-B, and histosplasmin in the United States."" <i>American Review of Respiratory Disease</i> 99, no. 4, Pt 2 (1969).|Edwards, Lydia B., Verna T. Livesay, Francis A. Acquaviva, and Carroll E. Palmer. ""Height, weight, tuberculous infection, and tuberculous disease."" <i>Archives of Environmental Health: An International Journal</i> 22, no. 1 (1971): 106-112.|Edwards, Phyllis Q., and Lydia B. Edwards. ""Story of the tuberculin test from an epidemiologic viewpoint."" <i>American Review of Respiratory Disease</i> 81, no. 1, Pt. 2 (1960).",,,,,"Lydia Edwards worked as a pediatrician and tuberculosis researcher at Johns Hopkins Hospital. She was educated at Radcliffe College and the Johns Hopkins University Medical School. Though Edwards spent much of her career at Hopkins, she worked in Yugoslavia during World War II, setting up emergency medical clinics. She also ran a tuberculosis program in Denmark from 1948 to 1955. Her research focused on the treatment of tuberculosis.",,Florence Barbara Seibert,"Dr. Lydia Edwards, Tuberculosis Program, Department of Health, Education and Welfare, Public Health Service, corresponds with Seibert extensively in 1940-50s. In this folder (Lydia Edwards) is a letter from Edward Krohn, JHU, talking about testing of African American TB patients in Freedman's Hospital in Washington DC. It seems that Edwards is involved with this testing and runs a study of a couple thousand African Americans where they test the solution of injections on these patients with TB at the Freedman's Hospital. Series I, Box 2 Two folders of correspondence",,
Phyllis Q. Edwards,phyllis-edwards-medicine,APS-WIS,F,1916,2007,,Medicine|Tuberculosis research|Public health,,,,,,,,"Phyllis Q. Edwards was an American medical researcher. She was educated at University of California Los Angeles and received her MD from University of California San Francisco in 1942. She later studied at Harvard, receiving a doctorate in public health in 1958. Focusing on public health and tuberculosis research, Edwards held many positions globally, working in Paris, Copenhagen, Washington DC, Atlanta, and Tucson.",https://www.legacy.com/us/obituaries/santacruzsentinel/name/phyllis-edwards-obituary?id=24260500,Florence Barbara Seibert,"Phyllis Q. Edwards, Department of Health, Education and Welfare Division of Special Health Serivces, Tuberculosis Program, August 5, 1959. She is publishing an article with Dr. McDermott in the American Review of Respiratory Diseases. Edwards seems to know Lew Affronti and holds him as a mutual friend with Siebert. Series I, Box 3",,
Eva Eicher,eva-eicher-genetics,APS-WIS,F,1939,,,Genetics|Biology,University of Rochester,University of Rochester|Jackson Laboratory,"Eicher, Eva M., and Linda L. Washburn. ""Genetic control of primary sex determination in mice."" <i>Annual Review of Genetics</i> 20, no. 1 (1986): 327-360.|Eicher, Eva M., and Margaret C. Green. ""The T6 translocation in the mouse: its use in trisomy mapping, centromere localization, and cytological identification of linkage group III."" <i>Genetics</i> 71, no. 4 (1972): 621-632.|Eicher, Eva M., Muriel N. Nesbitt, and Uta Francke. ""Cytological identification of the chromosomes involved in Searle's translocation and the location of the centromere in the X chromosome of the mouse."" <i>Genetics</i> 71, no. 4 (1972): 643-648.",,,,,"Eva Eicher was a mouse geneticist. She studied at the University of Rochester with Ernst W. Caspari, who named Eicher among the best students he had ever overseen. Shortly after graduation, she took a position at the Jackson Laboratory in Bar Harbor, ME, where she remained for the rest of her career. Eicher's research focused on sex determination in mice.",,Ernst W. Caspari|Jackson Laboratory Oral History,,,Caspari material?
Albert Einstein,75121530,VIAF,M,1879-03-14,1955-04-18,"Ulm, Germany",Physics,ETH Zurich,University of Bern|University of Zurich|Charles University in Prague|Prussian Academy of Sciences|Humboldt University of Berlin|Kaiser Wilhelm Institute|Princeton University|Brandeis University,,,,https://diglib.amphilsoc.org/islandora/object/graphics:3127/datastream/JPG/view,,"Albert Einstein was a German Jewish theoretical physicist. Perhaps the most famous scientist of all time, Einstein is known for his articulation of the theory of general relativity. Aside from his scientific achievements, Einstein was also instrumental in securing positions in the United States for scientists displaced by fascism. In 1936, Einstein wrote to Florence Sabin in an attempt to secure a position for the physicist Marietta Blau. He was also involved in Sabin's project to raise money for the Emmy Noether Memorial Fund.",,Florence Rena Sabin|Franz Boas,,"Albert Einstein, 3/4 length, profile, informal with Niels Bohr, [1950], Archive for the History of Quantum Physics, American Philosophical Society.",
Martha May Eliot,21742943,VIAF,F,1891-04-07,1978-02-14,,Pediatrics|Medicine|Public health|Nutrition,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Martha_Eliot.jpg,,"Martha May Eliot was a pediatrian public health advocate. She also served as assistant director for the WHO. Eliot studied at Bryn Mawr College, where she met Ethel Dunham. Dunham and Eliot spent the rest of their lives together in a domestic and romantic partnership. After graduation, both Dunham and Eliot enrolled in Johns Hopkins Medical School, graduating in 1918. Eliot's early work concerned rickets. Later, she advocated for important policies related to maternal and infant health as part of New Deal-era health reforms. In 1964, the American Public Health Association established the Martha May Eliot Award in recognition of her efforts in improving public health measures for mothers and their children.",,"Florence Rena Sabin|Franz Boas|Joseph Stokes, Jr.",,"Martha M. Eliot, U.S. National Library of Medicine.",
Emily Emmart,emily-emmart-medicine,APS-WIS,F,1898,,,Medicine|Biology|Tuberculosis research|Cancer research,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Researcher_Emily_Emmart_working_in_the_NIH%27s_Rocky_Mountain_Laboratory_in_Hamilton%2C_Montana.jpg,,"Emily Emmart was an American biologist and medical researcher. She was educated at Johns Hopkins University. Emmart's research concerned tuberculosis and chemotherapy. She also translated the Badianus manuscript, a Latin manuscript that described Aztec uses of herbs.",,H. S. Jennings|Florence Barbara Seibert,"Seibert collaborated with Dr. Emily Emmart of the NIH in 1944-45 on cellular sensitization. Emmart was at Division of Chemotherapy, US Public Health Service, National Institute of Health, Bethesda.","Researcher Emily Emmart working in the NIH's Rocky Mountain Laboratory in Hamilton, Montana, [1937], Images from the History of Medicine (IHM), National Library of Medicine.",
Rhoda Erdmann,77069858,VIAF,F,1870-12-05,1935-08-23,"Hersfeld, Germany",Biology|Cellular biology|Zoology,University of Munich,Yale University|Rockefeller Institute (Princeton)|Charité Hospital|Humboldt University,"Erdmann, Rhoda. ""Cytological observations on the behavior of chicken bone marrow in plasma medium."" <i>American Journal of Anatomy</i> 22, no. 1 (1917): 73-125.|Erdmann, Rhoda. <i>Experimentelle Untersuchung der Massenverhältnisse von Plasma, Kern und Chromosomen in dem sich entwickelnden Seeigelei</i>. W. Engelmann, 1908.|Erdmann, Rhoda. ""Production of transplantable growth."" Proceedings of the Society for Experimental Biology and Medicine 15, no. 7 (1918): 96-98.",,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Rhoda-erdmann01.jpg,,"Rhoda Erdmann was a pioneer in cellular biology. Erdmann was one of the first women doctoral students in Germany, earning her PhD in biology in 1908. In 1913, she received a fellowship to conduct research at Yale and subsequently became the first woman member of the Yale Graduate Faculty. She continued her research in the United States until 1918, when anti-German sentiment during World War I led to her imprisonment. She had been accused of poisoning the local water supply and importing viruses. She was then deported and struggled to find work in Germany. Nonetheless, she created a department for experimental cell research at the Charité Hospital in Berlin and helped advance the state of cytology considerably in Germany. In 1933, she was falsely accused of being Jewish and of having helped secure positions for Jewish students. She was jailed again. However, international pressure led to her release. Erdmann is still remembered as one of the most consequential figures in cell biology.",https://en.wikipedia.org/wiki/Rhoda_Erdmann,Charles Benedict Davenport|Simon Flexner|H. S. Jennings|Warren H. Lewis|Peyton Rous|Florence Rena Sabin,"Rhoda Erdmann, held Naples Table in 1913, Theresa Seessel Research Fellow at Yale University, published several papers, German cell bioligist, one of the few women working in this field, researched how to reproduce protozoa. Series 1, Box 7. https://en.wikipedia.org/wiki/Rhoda_Erdmann","Wanda von Debschitz-Kunowski, Portrait of Rhoda Erdmann, <i>Unsere Zeit in 77 Frauenbildnissen</i> (Niels Kampmann Verlag: [1930]).",
Maria Erecinska,93318566,VIAF,F,1939-08-17,,,Pharmacology|Biochemistry|Medicine,,,,,,,,"Maria Erecińska is a biochemical and medical researcher. Born in Poland, Erecińska spent much of her career at the University of Pennsylvania as a professor of pharmacology in the School of Medicine. Her main area of research is metabolism, with particular emphasis on metabolism in the brain. Her studies on metabolism in the brain have implications for the study of degenerative diseases such as Alzheimer's and Parkinson's.",,Britton Chance|Mildred Cohn,"Cohn recommends Erecinska for an ""Established Investigatorship"" at the American Heart Association. Says she has worked with her for 20 years since she was a postdoc and ""only the most exceptional postdoctoral fellows, a very small fraction of hte total in our department, are given faculty rank.""",,
Christine Essenberg,91195075,VIAF,F,,,,Biology,,,,,,,,"Christine Essenberg was an American biologist. After serving as a professor in California, Essenberg moved to Damascus to set up a school for girls in 1925.",,Charles Benedict Davenport|Florence Rena Sabin,"Dr. Christine Essenberg, wanting to establish a school for girls in Damascus. Doctorate in biology. There is a letter from her requesting to meet Sabin after she is introduced by Edgar L. Hewett. No follow up or response. Series I, Box 7",,
Nina Simmonds Estill,26242763,VIAF,F,1893,,,Medicine|Nutrition,,,,,,,,"Nina Simmonds Estill was an American nutritionist. Educated at Johns Hopkins University, she worked in the lab of Elmer Verner McCollum at the Wisconsin College of Agriculture in the 1920s, coauthoring numerous papers with him on diet and the nutritional properties of food. Simmonds corresponded frequently with Florence Sabin, and the latter often mentioned her as a rising young woman scientist. In 1928, Simmonds married. In a letter to Sabin, she admits she gave up her laboratory work to become a homemaker, feeling she could not ""have two full time interests."" However, her husband died in 1933 and Simmonds returned to the lab, working at the University of California Medical School and the University of California College of Dentistry in San Francisco.",,Victor George Heiser|Florence Rena Sabin,"Nina Simmonds Estill - in a letter in the E folder, she discusses how she got married and didn't want to have two full time interests so quit the work she loves in the laboratory. Series 1, Box 20 ""Nina Simmonds"" and also in Box 7.",,
Alice Evans,16452241,VIAF,F,1881-01-29,1975-09-05,"Neath, PA",Microbiology|Bacteriology|Public health,Cornell University|University of Wisconsin-Madison,USDA|USPHS,,,Fellow of the American Association for the Advancement of Science,https://upload.wikimedia.org/wikipedia/commons/e/e1/Alice_C._Evans%2C_National_Photo_Company_portrait%2C_circa_1915.jpg,,"Microbiologist Alice Catherine Evans investigated dairy products, specifically milk and cheese, to find that the disease brucellosis—known at the time as Malta Fever or undulunt fever—, which caused miscarriages in mammals, came from a bacteria in cow's milk. Her findings advocated that milk be pasteurized to protect consumers from bacteria. Evans contracted undulunt fever in 1922 and remained sensitive to brucellosis, which halted her work. In 1928 she became president of the Society for American Bacteriologists, the first woman to hold the position. She was awarded honorary doctoral degrees from Women's Medical College of Medicine, the University of Wisconsin-Madison and Wilson College.",https://en.wikipedia.org/wiki/Alice_Catherine_Evans,Simon Flexner|Florence Barbara Seibert,,"Alice Evans, National Photo Company Collection, Library of Congress",
Audrey Evans,92639138,VIAF,F,1925,2022,"York, England",Medicine|Pediatrics|Cancer research,Royal College of Surgeons of Edinburgh|Royal Infirmary of Edinburgh|Boston Children's Hospital|Johns Hopkins University,Boston Children's Hospital|University of Chicago|Children's Hospital of Philadelphia|University of Pennsylvania,"Miller, Elizabeth E., Audrey E. Evans, and Mildred Cohn. ""Inhibition of rate of tumor growth by creatine and cyclocreatine."" <i>Proceedings of the National Academy of Sciences</i> 90, no. 8 (1993): 3304-3308.|Evans, Audrey E., Giulio J. D'Angio, and Judson Randolph. ""A proposed staging for children with neuroblastoma. Children's cancer study group A."" <i>Cancer</i> 27, no. 2 (1971): 374-378.|Evans, Audrey E., R. Derek T. Jenkin, Richard Sposto, Jorge A. Ortega, Charles B. Wilson, William Wara, Inta J. Ertel et al. ""The treatment of medulloblastoma: results of a prospective randomized trial of radiation therapy with and without CCNU, vincristine, and prednisone."" <i>Journal of neurosurgery</i> 72, no. 4 (1990): 572-582.",American Radium Society,Janeway Award (American Radium Society)|Distinguished Career Award (American Society of Pediatric Hematology/Oncology)|William Osler Patient Oriented Research Award (University of Pennsylvania),https://upload.wikimedia.org/wikipedia/commons/c/c5/Audrey_Elizabeth_Evans.jpg,,"Audrey Evans was a pediatric oncologist most known for her work with neuroblastoma, a cancer of the nerve tissue that usually affects children under the age of five. Evans was educated in Edinburgh, Boston, and Baltimore. Upon completing her training, she returned to her native England, but had difficulty finding a job on account of sexism in the medical field. She instead went back to the United States and worked in Boston and Chicago before landing a job at the Children's Hospital of Philadelphia. In 1972, she was appointed a professor of pediatrics at the University of Pennsylvania, where she worked with Mildred Cohn, Mary Osbakken, and Elizabeth E. Miller. Evans is called the ""mother of neuroblastoma"" due to her success in treating this condition. Thanks to her efforts, the rate of mortality due to neuroblastoma has reduced by about 50%. Evans also contributed to the founding of the Ronald McDonald House. A film is currently being made about Evans's life. Entitled <i>Audrey's Children</i>, it will feature Natalie Dormer in the role of Evans.",https://en.wikipedia.org/wiki/Audrey_Evans|https://www.audreyschildren.com/,Mildred Cohn,,"Dr. Audrey Elizabeth Evans, National Library of Medicine.",
Angelina Fabrizio,angelina-fabrizio-microbiology,APS-WIS,F,1922-02-22,2010-05-06,,Microbiology|Tuberculosis research|Cancer research|Pathology,,,,,,,,"Angelina Fabrizio was an American microbiologist and cancer pathologist. Fabrizio completed graduate studies at the University of Pennsylvania under the supervision of Florence Seibert and earned her PhD in 1952 with a dissertation on tuberculin in tissue cultures. Fabrizio held research positions at numerous hospitals in the Philadelphia area, eventually becoming an Associate Professor of Microbiology at Thomas Jefferson University. Her later research focused on cancer pathology.",https://franklin.library.upenn.edu/catalog/FRANKLIN_999383893503681|https://www.legacy.com/us/obituaries/erietimesnews/name/angelina-fabrizio-obituary?id=14574926|https://prabook.com/web/angelina_maria.fabrizio/3451865,Warren H. Lewis|Florence Barbara Seibert,Fabrizio was admitted to University of Pennsylvania as a grad student to work with Seibert,,
Marion Fay,106916582,VIAF,F,1898,1990-05-20,New Orleans,Medicine|Chemistry,Newcomb College|University of Colorado|Yale University,Women's Medical College,,,,,,"Marion Spencer Fay served as dean and president of Women's Medical College of Pennsylvania. She received her bachelor's degree at Newcomb College at Tulane University, studied for her mastser's degree at the University of Colorado, and then finished her PhD at Yale University, focusing on physiologic chemistry. The Marion Spencer Fay Award at Drexel University is in her honor and is awarded to a female physician or scientist.",,George Washington Corner|Warren H. Lewis|Florence Barbara Seibert|Anthony F. C. Wallace,Marion Fay - she writes a LOR for her to Mrs Franklin N. Daskam at the Women's Medical College,,
Nina V. Fedoroff,28723949,VIAF,F,1942-04-09,,"Cleveland, OH",Biology|Genetics|Molecular biology|Embryology,Syracuse Univeristy,Rockefeller University,,United States National Acadamy of Sciences|American Acadamy of the Sciences|European Acadamy of Sciences|American Acadamy of Microbiology,National Medal of Science,https://upload.wikimedia.org/wikipedia/commons/d/d6/Nina_Fedoroff_at_the_New_America_Foundation_%28cropped%29.jpg,,"Nina Fedoroff is an American molecular biologist known for her research in life sciences and biotechnology, particularly transposable elements or jumping genes and plant stress response. After graduating from Rockefeller University she joined the faculty at UCLA where she conducted research in nuclear RNA. In 1978, she moved to the Carnegie Institution for Science in Maryland where she worked on developmental biology in the Department of Embryology where she pioneered DNA sequencing and worked out the nucleotide sequence for the first complete gene. In 1978, she also joined the faculty of the Johns Hopkins University Biology department where she worked on the molecular characterization of maize transposable elements. In 2007, President George W. Bush awarded her the National Medal of Science.",https://en.wikipedia.org/wiki/Nina_Fedoroff#Research_career,Barbara McClintock|Bruce Wallace,,"Nina Fedoroff at the New America Foundation, New America Foundation, <a href='https://creativecommons.org/licenses/by/2.0/'>CC-BY 2.0</a>.",
Margaret Clay Ferguson,194053710,VIAF,F,1863-08-29,1951-08-28,"Orleans, NY",Botany|Biology,Wellesley College|Cornell University,Wellesley College,,Botanical Society of America,Honorary Doctorate from Mount Holyoke College,https://upload.wikimedia.org/wikipedia/commons/6/6b/Margaret_Clay_Ferguson_%281863-1951%29_%283398582790%29.jpg,,"Margaret Clay Ferguson was an American botanist. She taught for many yers at Wellesley College. There, she mentored Harriet Creighton, who would later discover chromosomal crossover with Barbara McClintock. In 1932, she was nominated for he Ellen Richards Research Prize. Though Ferguson received more nominations than any other scientist, her nomination did not advance as Florence Sabin and Lilian Welsh had difficulty finding scientists who could evaluate her work. This likely speaks to the gap between their network of influence, centered in the medical sciences, and Ferguson's work in botany.",https://en.wikipedia.org/wiki/Margaret_Clay_Ferguson,Florence Rena Sabin,,"Margaret Clay Ferguson (1863-1951), Smithsonian Institution Archives, Accession 90-105, Science Service Records, Image No. SIA2008-0573.",
Abraham Flexner,24735888,VIAF,M,1866-11-13,1959-09-21,"Louisville, KY",,Johns Hopkins University|Harvard University|University of Berlin,,,The Association of American Medical Colleges created the Abraham Flexner Award for Distinguished Service to Medical Education.,,https://upload.wikimedia.org/wikipedia/commons/9/96/Picture_of_Abraham_Flexner.jpg,,"Abraham Flexner was an American educator who helped reform higher education in the United States. In this network, Flexner appears as an advocate for scientists displaced by fascism in Germany. Flexner was instrumental in securing a position for physicist Hertha Sponer.",https://en.wikipedia.org/wiki/Abraham_Flexner#Early_life_and_education,,,"Abraham Flexner in Page, Walter H., ed., <i>The World's Work</i> (Garden City, NY: Doubleday, Page & Co, May, 1910).",
Laura Florence,282980650,VIAF,F,1882-06-17,1956,,Entomology|Zoology|Bacteriology|Biology,,,,,,,,"Laura Florence was a British entomologist. Born in Scotland, Florence was educated at the University of Aberdeen. In 1914, she moved to the United States to continue her education, earning an MA from Stanford in 1916 and a PhD from Cornell University in 1920. Her dissertation focused on pig lice. She later became a professor of bacteriology at New York Medical College.",https://minervascientifica.co.uk/laura-florence/,Simon Flexner|Florence Rena Sabin,"Laura Florence PhD Cornell, from the UK. Studied at University of Aberdeen, Scotland. See digital object for her CV, including where she studied and her publications. Series I, Box 8",,
Anna Foà,264088554,VIAF,F,1876-01-16,1944,Rome,Entomology|Biology,University of Rome,University of Rome|University of Naples,,Italian Society of Naturalists,,,,"Anna Foà was an Italian entomologist. She was one of the first women to become a professor in Italy. Foà studied entomology in Rome. In 1905, she moved to Fauglia to conduct research on grape pylloxera, a pest that infects grapevines. After publication of her research on the pest, she received permission to teach at Italian universities. She received a professorship in Portici in 1920. In 1924, she became a professor at the University of Naples, conducting research on silkworms and bees. She worked there until 1938, when she lost her position on account of being Jewish. Little of her life is known beyond that point.",,Florence Rena Sabin,Dr. Foa recommended for Ellen Swallow Richards Prize,,
Virginia K. Frantz,289288012,VIAF,F,1896-11-13,1967-08-23,New York City,Pathology|Medicine|Surgery,Bryn Mawr College|Columbia University,Columbia University,,American Thyroid Association,Columbia University Bicentennial Silver Medal|Army-Navy Certificate of Appreciation for Civilian Service|Janeway Medal,https://upload.wikimedia.org/wikipedia/commons/8/81/Virginia_Kneeland_Franz.jpg,,"Virginia Kneeland Frantz was a pathologist and educator who made discoveries in the study of thyroid, breast, and pancreatic cancers. In 1922, she became the first woman surgery intern at New York Presbyterian Hospital. She then went on to teach surgery at Columbia University College of Physicians and Surgeons. In 1959, Frantz wrote a study on tumors of the pancreas which became a standard text in the field.",https://en.wikipedia.org/wiki/Virginia_Kneeland_Frantz,Florence Rena Sabin,"Dr. Virginia K. Frantz, Department of surgery, college of physicians and surgeons, Columbia University, 1933. Series I, Box 8","Virginia Kneeland Frantz, pathologist and educator, 1961, National Library of Medicine.",
Louise Frazee,louise-frazee-medicine,VIAF,F,,,,Medicine,Goucher College|Johns Hopkins University,Goucher College|Johns Hopkins University|St. Agnes School (Albany),,,,,Listed as Mary Louise Frazee in Johns Hopkins University list of students,Mary Louise Frazee graduated from Goucher in 1908 and then studied at Johns Hopkins University for her MD. She was interested in clinical microscopy and the Wasserman technique.,https://books.google.com/books/content?id=3mIxj63JUXAC&pg=RA4-PA41&img=1&zoom=3&hl=en&sig=ACfU3U1ctKJaeHbKaH6RwTeMujxO8t7m6A&w=1025,Florence Rena Sabin,"Dr. Louise Frazee, Johns Hopkins graduate, working in clinical microscopy, Wassermann technique, etc… In 1917 Dr. Frazee is tryin gto go to France to help in the war and is seeking an appointment with the Canadian Army Medical Service.",,Maude Abbott folder?
Lois Fry,lois-fry-microbiology,APS-WIS,F,,,,Microbiology,,,,,,,,Lois Fry worked in Florence Seibert's lab at the University of Pennsylvania. She was part of a research group that included Elizabeth Eshelman Miller and Eva Soto Figueroa.,,Florence Barbara Seibert,,,
Carrie B. Fuld,97830012,VIAF,F,1864-03-16,1944-07-18,Baltimore,,,,,National Council of Jewish Women,,https://upload.wikimedia.org/wikipedia/commons/d/db/CarolineBamberger.jpg,https://en.wikipedia.org/wiki/Caroline_Bamberger_Fuld,"Caroline Bamberger Frank Fuld, along with her brother Louis Bamberger, donated and financially endowed funds for what would become the Institute of Advanced Study in Princeton. The Bamberger family were prominent department store owners in Baltimore. After speaking with Abraham Flexner in 1922, Fuld and her brother contributed over 23 million to begin and endow the Institute. Fuld was a supporter of Florence Sabin and wrote that she felt she had ""discovered"" her talent.",,Florence Rena Sabin,"Carrie B. Fuld, wife of Felix Fuld, writes that she feels she ""discovered"" Sabin long ago. Letter dated Dec 10, 1935 in ""F 1919-1941 folder""","Caroline Bamberger Frank Fuld (1864-1944). [1920], Institute for Advanced Study.",
Dorothea Schallert Fuller,dorothea-fuller-medicine,APS-WIS,F,,,,Medicine|Tuberculosis research|Zoology,,,,,,,,"Dorothy Schallert Fuller worked as a research technician at the Rockefeller Institute. She earned an MA in zoology from Duke University in 1929. While at the Rockefeller Institute, she developed an improved method for staining tubercle bacilli.",,Florence Rena Sabin,"Dorothea Schallert Fuller, has a LOR written by Kenneth C. Smithburn to go to study tropical medicine in Puerto Rico. She published an article ""A Note on the Staining of Tubercle Bacilli in Sections"" for the Journal of Laboratory and Clinical Medicine, Sabin writes to Dr. Gasser, head of Rockefeller Institute in 1937 to ask if it is ok that Mrs Fuller publish her article. ""Mrs Fuller who does all of our section cutting, as you know, has worked out a method for staining tubercle bacilli which we have found of such value that we want her to publish it... She has a Master's degree and has done part of the work for a Doctor's degree."" June 8, 1937, Herbert S. Gasser 1936-39, Box 9.",,
John Faquhar Fulton,66595684,VIAF,M,1899-11-01,1960-05-29,"Saint Paul, MN",Medicine,Magdalen College|Oxford University,Yale University,,,Honorary officer of the Order of the British Empire|Officer of the French Legion of Honour|Commander of the Order of Leopold of Belgium|John Fulton Medal from the Society got the History of Medical Science|George Sarton Medal from the History of Science Society,https://collections.library.yale.edu/iiif/2/32340321/full/full/0/default.jpg,,"John Farquhar Fulton was an American neurophysiologist. Fulton provided recommendations for Sarah Tower and Marion Hines, praising their rigorous work and agreeable personalities.",https://en.wikipedia.org/wiki/John_Farquhar_Fulton#Awards_and_honors,,,"John F. Fulton, 1927, Medical Historical Library, Cushing/Whitney Medical Library, Yale University Library.",https://upload.wikimedia.org/wikipedia/en/e/e2/John_Farquar_Fulton.jpg
Betty Gaffney,6165624780642240367,VIAF,F,,,,Chemistry|Biology|Biophysics,,,,,,,,"Betty Gaffney is an American researcher in the biological sciences. Gaffney received her PhD from Stanford University in 1966. She was later a professor at Johns Hopkins University and then Florida State University. Her research concerns the physical structure of lipids, using nuclear magnetic resonance techniques to shed light on this problem.",,Mildred Cohn,"Cohn recommends Gaffney for promotion at Johns Hopkins, letter addressed to Michael Beer.",,
Barbara J. Garrison,0000-0002-7053-5284,ORCID,F,1949-03-07,,,Chemistry|Phyiscal chemistry,"Arizona State University, University of California Berkeley",Purdue|Lawrence Berkeley National Laboratory|Pennsylvania State University,,,Peter Mark Award|Penn State Faculty Scholar Award for Outstanding Achievement in Physical Sciences and Engineering|Akron Section Award|Garvan-Olin Medal|Elected Fellow of the American Vacuum Society|Elected Fellow of the American Physical Society|Eberly College of Science Distinguished Alumni Service Award|Elected Fellow of the American Association for the Advancement of Science|Elected Fellow of the American Chemical Society|American Vacuum Society Theodore E. Madey Award,,,"Barbara J. Garrison is an American chemist best known for her work on developing computational models for surface reactions. Garrison studied physics at the Arizona State University, but realized her research interests concerned physics at the molecular level. She therefore switched fields and received her PhD in chemistry from the University of California Berkeley in 1975. Since 1979, she has been a professor at Penn State University. She currently is Professor Emeritus in the department of chemistry. Mildred Cohn corresponded with Garrison about a symposium on womenin chemistry at Penn State University.",https://en.wikipedia.org/wiki/Barbara_J._Garrison,Mildred Cohn,"Very brief correspondence about a talk Cohn gave at Penn State for a ""women in chemistry"" symposium",,
Virginia C. Gildersleeve,113516350,VIAF,F,1877-10-03,1965-07-07,New York City,,Barnard College|Columbia University,Barnard College,"Gildersleeve, Virginia Crocheron. <i>Many a Good Crusade: Memoirs of Virginia Gildersleeve</i>. New York: Arno Press, 1954. Gildersleeve, Virginia Crocheron. <i>A Hoard for Winter</i>. New York: Columbia University Press: 1962.",,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Virginia_C._Gildersleeve.jpg,,"Virginia Gildersleeve was an American academic known for being a long-term dean of Barnard College. She was co-founder of the International Federation of University Women, and the only woman delegated by the United States to the April 1945 San Francisco United Nations Conference on International Organization, which negotiated the charter for and the creation of the United Nations. Gildersleeve also advocated for women's equality and challenged commonly held beliefs about sexuality and the role of women in society.",https://en.wikipedia.org/wiki/Virginia_Gildersleeve,Franz Boas|Florence Rena Sabin,"Virginia C. Gildersleeve, Dean of Barnard College, Columbia University. Corresponds a lot about women's clubs such as ACA and International Federation fo University Women","Harris & Ewing, Gildersleeve, Virginia C., [between 1905 and 1945], Library of Congress, LC-DIG-hec-21309.",
